lifecycle_time,day_type,strike_confidence,n,mean_abs_distance_usd,median_abs_distance_usd,p10_abs_distance_usd,p25_abs_distance_usd,p50_abs_distance_usd,p75_abs_distance_usd,p90_abs_distance_usd,mean_abs_distance_bps
T+10m,weekday,HIGH,6,75.72976251164316,65.66876297416457,29.876824582468544,38.20049987551465,65.66876297416457,102.10276092270578,131.64369997829635,9.756879729486027
T+10m,weekday,LOW_PROXY,94,87.1394680851067,52.039999999997235,15.848999999999796,26.137500000004366,52.039999999997235,114.78249999999935,208.43999999999798,12.109582445152919
T+10m,weekend,LOW_PROXY,100,52.27840000000033,33.525000000001455,2.4159999999981667,11.14499999999316,33.525000000001455,69.68000000000029,134.40700000000217,6.9235214093851
T+1m,weekday,HIGH,6,56.42852582758496,53.728841075790115,23.048114530298335,41.01049987550505,53.728841075790115,81.46788283540445,92.50862187666644,7.255628394360657
T+1m,weekday,LOW_PROXY,94,32.370851063829946,22.599999999998545,4.0,13.235000000002401,22.599999999998545,45.712499999999636,61.74299999999785,4.477639465909502
T+1m,weekend,LOW_PROXY,100,18.33840000000004,6.430000000000291,0.0,0.010000000002037268,6.430000000000291,20.75499999999738,50.147000000004496,2.4300973403238424
T+2m,weekday,HIGH,6,57.92292918236004,57.85764144867426,6.224105032160878,15.632767317314574,57.85764144867426,83.7104725689569,109.687041066245,7.443322207991615
T+2m,weekday,LOW_PROXY,94,46.197340425532026,27.7599999999984,6.6970000000059375,16.465000000003783,27.7599999999984,57.72999999999956,102.76399999999923,6.3855936566586795
T+2m,weekend,LOW_PROXY,100,26.29020000000004,10.25,0.010000000001309673,3.522499999999127,10.25,31.382500000003347,87.73100000000704,3.482634768178574
T+3m,weekday,HIGH,6,72.72309584497513,39.62542188621592,18.03182458246738,19.326290280721878,39.62542188621592,94.47051161976924,160.5120410662421,9.382428880740079
T+3m,weekday,LOW_PROXY,94,52.137234042552585,32.779999999998836,6.231999999996334,16.467499999997017,32.779999999998836,68.91250000000218,107.46600000000329,7.2333493856729
T+3m,weekend,LOW_PROXY,100,28.429900000000416,14.194999999999709,0.9930000000014844,4.900000000003274,14.194999999999709,44.13750000000073,78.27800000000134,3.7830872185406963
T+5m,weekday,HIGH,6,86.67811614071736,80.25876297416107,21.13188546969468,44.84638161156545,80.25876297416107,122.7046705318171,158.64369997829635,11.17994653702224
T+5m,weekday,LOW_PROXY,94,68.35787234042576,46.12999999999738,7.425000000000729,25.917499999999563,46.12999999999738,91.29250000000684,141.04800000001126,9.362977148340423
T+5m,weekend,LOW_PROXY,100,31.290199999999896,20.089999999996508,1.9409999999930734,7.2224999999925785,20.089999999996508,45.22750000000451,76.02400000000203,4.172172122488991
T-1m,weekday,HIGH,6,70.44912918872676,52.78264144867717,34.87090504170919,41.102410969586344,52.78264144867717,67.27912140099943,123.6938410757939,9.0498393317786
T-1m,weekday,LOW_PROXY,94,99.6519148936177,74.05500000000029,20.041000000000352,34.0625,74.05500000000029,144.3025000000016,203.67200000000892,13.773501958033368
T-1m,weekend,LOW_PROXY,100,61.1762000000001,33.080000000001746,3.0630000000062862,13.93999999999869,33.080000000001746,85.18500000000131,151.81900000000348,8.082297296420252
T-2m,weekday,HIGH,6,77.60642917830894,78.59876297416486,42.0468245824668,63.07879028072057,78.59876297416486,99.77217053181812,112.17369997829519,9.974830703870174
T-2m,weekday,LOW_PROXY,94,94.0712765957455,63.61000000000058,17.3,32.212499999999636,63.61000000000058,124.28499999999985,198.6690000000104,13.073702289132138
T-2m,weekend,LOW_PROXY,100,53.506299999999825,30.30999999999767,2.045999999990454,12.347499999998035,30.30999999999767,73.19500000000335,123.95900000000842,7.093268475693445
T-3m,weekday,HIGH,6,82.7014494740506,87.46376297416282,13.171885469695553,30.658881611565448,87.46376297416282,96.9619705174955,147.46869997829344,10.667498633807803
T-3m,weekday,LOW_PROXY,94,82.81053191489372,51.8550000000032,13.919000000003871,25.05249999999978,51.8550000000032,111.42250000000422,204.98300000000455,11.43342235820076
T-3m,weekend,LOW_PROXY,100,48.78189999999995,30.91500000000451,3.342000000004191,11.054999999993015,30.91500000000451,67.36750000000757,108.01899999999007,6.446928220988563
T-5m,weekday,HIGH,6,86.67811614071736,80.25876297416107,21.13188546969468,44.84638161156545,80.25876297416107,122.7046705318171,158.64369997829635,11.17994653702224
T-5m,weekday,LOW_PROXY,94,68.35787234042576,46.12999999999738,7.425000000000729,25.917499999999563,46.12999999999738,91.29250000000684,141.04800000001126,9.362977148340423
T-5m,weekend,LOW_PROXY,100,31.290199999999896,20.089999999996508,1.9409999999930734,7.2224999999925785,20.089999999996508,45.22750000000451,76.02400000000203,4.172172122488991
